LocationID	City Name	Territory	PostalCode	OpenDate	SellingAreaSize	DistrictName	Name	StoreNumberName	StoreNumber	City	Chain	DM	DM_Pic	DistrictID	Open Year	Store Type	Open Month No	Open Month
40	Beavercreek	OH	45431	01/05/2007 00:00:00	45000	FD - District #2	Beavercreek Fashions Direct	40 - Beavercreek Fashions Direct	40	Beavercreek, OH	Fashions Direct	Tina Lassila	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Tina Lassila.jpg	2	2007	Same Store	5	May
41	Cincinnati	OH	45248	01/01/2011 00:00:00	45000	FD - District #2	Cincinnati Fashions Direct	41 - Cincinnati Fashions Direct	41	Cincinnati, OH	Fashions Direct	Tina Lassila	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Tina Lassila.jpg	2	2011	Same Store	1	Jan
501	Frederick	MD	21701	01/09/2006 00:00:00	10000	LI - District #1	Frederick Lindseys	501 - Frederick Lindseys	501	Frederick, MD	Lindseys	Allan Guinot	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Allan Guinot.jpg	6	2006	Same Store	9	Sep
503	Fredericksburg	VA	22401	01/11/2007 00:00:00	10000	LI - District #2	Fredericksburg Lindseys	503 - Fredericksburg Lindseys	503	Fredericksburg, VA	Lindseys	Chris McGurk	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris McGurk.jpg	7	2007	Same Store	11	Nov
504	Gaithersburg	MD	20877	01/01/2008 00:00:00	10000	LI - District #1	Gaithersburg Lindseys	504 - Gaithersburg Lindseys	504	Gaithersburg, MD	Lindseys	Allan Guinot	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Allan Guinot.jpg	6	2008	Same Store	1	Jan
505	Laurel	MD	20707	01/03/2008 00:00:00	10000	LI - District #1	Laurel Lindseys	505 - Laurel Lindseys	505	Laurel, MD	Lindseys	Allan Guinot	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Allan Guinot.jpg	6	2008	Same Store	3	Mar
506	Manassas	VA	20109	01/08/2009 00:00:00	10000	LI - District #2	Manassas Lindseys	506 - Manassas Lindseys	506	Manassas, VA	Lindseys	Chris McGurk	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris McGurk.jpg	7	2009	Same Store	8	Aug
507	College Park	MD	20740	01/12/2008 00:00:00	10000	LI - District #1	College Park Lindseys	507 - College Park Lindseys	507	College Park, MD	Lindseys	Allan Guinot	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Allan Guinot.jpg	6	2008	Same Store	12	Dec
508	Pasadena	MD	21122	01/11/2008 00:00:00	10000	LI - District #1	Pasadena Lindseys	508 - Pasadena Lindseys	508	Pasadena, MD	Lindseys	Allan Guinot	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Allan Guinot.jpg	6	2008	Same Store	11	Nov
509	Annapolis	MD	21401	01/04/2009 00:00:00	10000	LI - District #1	Annapolis Lindseys	509 - Annapolis Lindseys	509	Annapolis, MD	Lindseys	Allan Guinot	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Allan Guinot.jpg	6	2009	Same Store	4	Apr
510	North Baltimore	MD	21234	01/04/2008 00:00:00	10000	LI - District #1	North Baltimore Lindseys	510 - North Baltimore Lindseys	510	North Baltimore, MD	Lindseys	Allan Guinot	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Allan Guinot.jpg	6	2008	Same Store	4	Apr
511	Bowie	MD	20715	01/05/2009 00:00:00	10000	LI - District #1	Bowie Lindseys	511 - Bowie Lindseys	511	Bowie, MD	Lindseys	Allan Guinot	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Allan Guinot.jpg	6	2009	Same Store	5	May
512	Roanoke	VA	24012	01/07/2009 00:00:00	10000	LI - District #2	Roanoke Lindseys	512 - Roanoke Lindseys	512	Roanoke, VA	Lindseys	Chris McGurk	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris McGurk.jpg	7	2009	Same Store	7	Jul
513	Waldorf	MD	20603	01/09/2009 00:00:00	10000	LI - District #2	Waldorf Lindseys	513 - Waldorf Lindseys	513	Waldorf, MD	Lindseys	Chris McGurk	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris McGurk.jpg	7	2009	Same Store	9	Sep
514	Glen Allen	VA	23060	01/03/2009 00:00:00	10000	LI - District #2	Richmond Lindseys	514 - Richmond Lindseys	514	Glen Allen, VA	Lindseys	Chris McGurk	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris McGurk.jpg	7	2009	Same Store	3	Mar
515	Richmond	VA	23235	01/01/2009 00:00:00	10000	LI - District #2	Chesterfield Lindseys	515 - Chesterfield Lindseys	515	Richmond, VA	Lindseys	Chris McGurk	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris McGurk.jpg	7	2009	Same Store	1	Jan
517	Lynchburg	VA	24502	01/07/2010 00:00:00	15000	LI - District #2	Lynchburg Lindseys	517 - Lynchburg Lindseys	517	Lynchburg, VA	Lindseys	Chris McGurk	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris McGurk.jpg	7	2010	Same Store	7	Jul
518	Alexandria	VA	22310	01/08/2010 00:00:00	10000	LI - District #2	Alexandria Lindseys	518 - Alexandria Lindseys	518	Alexandria, VA	Lindseys	Chris McGurk	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris McGurk.jpg	7	2010	Same Store	8	Aug
519	Colonial Heights	VA	23834	01/09/2010 00:00:00	15000	LI - District #2	Colonial Heights Lindseys	519 - Colonial Heights Lindseys	519	Colonial Heights, VA	Lindseys	Chris McGurk	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris McGurk.jpg	7	2010	Same Store	9	Sep
520	Greensboro	NC	27407	01/10/2010 00:00:00	15000	LI - District #4	Greensboro Lindseys	520 - Greensboro Lindseys	520	Greensboro, NC	Lindseys	Brad Sutton	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Brad Sutton.jpg	10	2010	Same Store	10	Oct
522	Cary	NC	27518	01/08/2010 00:00:00	10000	LI - District #3	Cary Lindseys	522 - Cary Lindseys	522	Cary, NC	Lindseys	Chris Gray	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris Gray.jpg	9	2010	Same Store	8	Aug
523	Harrisonburg	VA	22802	01/12/2010 00:00:00	10000	LI - District #2	Harrisonburg Lindseys	523 - Harrisonburg Lindseys	523	Harrisonburg, VA	Lindseys	Chris McGurk	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris McGurk.jpg	7	2010	Same Store	12	Dec
524	Christiansburg	VA	24073	01/10/2010 00:00:00	10000	LI - District #2	Christiansburg Lindseys	524 - Christiansburg Lindseys	524	Christiansburg, VA	Lindseys	Chris McGurk	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris McGurk.jpg	7	2010	Same Store	10	Oct
525	Raleigh	NC	27604	01/11/2010 00:00:00	10000	LI - District #3	Raleigh Lindseys	525 - Raleigh Lindseys	525	Raleigh, NC	Lindseys	Chris Gray	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris Gray.jpg	9	2010	Same Store	11	Nov
526	Newark	DE	19702	01/02/2011 00:00:00	10000	LI - District #1	Glasgow Lindseys	526 - Glasgow Lindseys	526	Newark, DE	Lindseys	Allan Guinot	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Allan Guinot.jpg	6	2011	Same Store	2	Feb
528	Durham	NC	27707	01/04/2011 00:00:00	15000	LI - District #3	Durham  Lindseys	528 - Durham  Lindseys	528	Durham, NC	Lindseys	Chris Gray	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris Gray.jpg	9	2011	Same Store	4	Apr
530	Asheville	NC	28803	01/09/2011 00:00:00	10000	LI - District #4	Asheville Lindseys	530 - Asheville Lindseys	530	Asheville, NC	Lindseys	Brad Sutton	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Brad Sutton.jpg	10	2011	Same Store	9	Sep
531	Winston-Salem	NC	27106	01/11/2011 00:00:00	10000	LI - District #4	Winston-Salem Lindseys	531 - Winston-Salem Lindseys	531	Winston-Salem, NC	Lindseys	Brad Sutton	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Brad Sutton.jpg	10	2011	Same Store	11	Nov
533	Charlotte	NC	28226	01/03/2012 00:00:00	10000	LI - District #4	Pineville Lindseys	533 - Pineville Lindseys	533	Charlotte, NC	Lindseys	Brad Sutton	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Brad Sutton.jpg	10	2012	Same Store	3	Mar
534	Mooresville	NC	28117	01/09/2012 00:00:00	10000	LI - District #4	Mooresville Lindseys	534 - Mooresville Lindseys	534	Mooresville, NC	Lindseys	Brad Sutton	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Brad Sutton.jpg	10	2012	Same Store	9	Sep
535	Clemmons	NC	27012	01/04/2012 00:00:00	10000	LI - District #4	Clemmons Lindseys	535 - Clemmons Lindseys	535	Clemmons, NC	Lindseys	Brad Sutton	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Brad Sutton.jpg	10	2012	Same Store	4	Apr
536	Statesville	NC	28625	01/06/2012 00:00:00	10000	LI - District #4	Statesville Lindseys	536 - Statesville Lindseys	536	Statesville, NC	Lindseys	Brad Sutton	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Brad Sutton.jpg	10	2012	Same Store	6	Jun
537	Fayetteville	NC	28303	01/09/2012 00:00:00	10000	LI - District #3	Fayetteville Lindseys	537 - Fayetteville Lindseys	537	Fayetteville, NC	Lindseys	Chris Gray	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris Gray.jpg	9	2012	Same Store	9	Sep
538	Hickory	NC	28602	01/06/2012 00:00:00	15000	LI - District #4	Hickory Lindseys	538 - Hickory Lindseys	538	Hickory, NC	Lindseys	Brad Sutton	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Brad Sutton.jpg	10	2012	Same Store	6	Jun
540	Wilmington	NC	28403	01/07/2012 00:00:00	10000	LI - District #3	Wilmington Lindseys	540 - Wilmington Lindseys	540	Wilmington, NC	Lindseys	Chris Gray	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris Gray.jpg	9	2012	Same Store	7	Jul
541	Florence	SC	29501	01/04/2012 00:00:00	10000	LI - District #3	Florence Lindseys	541 - Florence Lindseys	541	Florence, SC	Lindseys	Chris Gray	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris Gray.jpg	9	2012	Same Store	4	Apr
542	Greenville	SC	29607	01/03/2012 00:00:00	10000	LI - District #4	Greenville Lindseys	542 - Greenville Lindseys	542	Greenville, SC	Lindseys	Brad Sutton	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Brad Sutton.jpg	10	2012	Same Store	3	Mar
543	Sumter	SC	29150	01/05/2012 00:00:00	10000	LI - District #3	Sumter Lindseys	543 - Sumter Lindseys	543	Sumter, SC	Lindseys	Chris Gray	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris Gray.jpg	9	2012	Same Store	5	May
544	North Charleston	SC	29406	01/12/2012 00:00:00	10000	LI - District #3	North Charleston Lindseys	544 - North Charleston Lindseys	544	North Charleston, SC	Lindseys	Chris Gray	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris Gray.jpg	9	2012	Same Store	12	Dec
545	Greenville	NC	27858	01/07/2012 00:00:00	10000	LI - District #3	Greenville Lindseys	545 - Greenville Lindseys	545	Greenville, NC	Lindseys	Chris Gray	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris Gray.jpg	9	2012	Same Store	7	Jul
546	Wilmington	DE	19808	01/10/2012 00:00:00	10000	LI - District #1	Wilmington Lindseys	546 - Wilmington Lindseys	546	Wilmington, DE	Lindseys	Allan Guinot	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Allan Guinot.jpg	6	2012	Same Store	10	Oct
547	Laurel	MD	20724	01/03/2013 00:00:00	15000	LI - District #1	Laurel Lindseys	547 - Laurel Lindseys	547	Laurel, MD	Lindseys	Allan Guinot	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Allan Guinot.jpg	6	2013	Same Store	3	Mar
548	Athens	GA	30606	01/04/2013 00:00:00	10000	LI - District #5	Athens Lindseys	548 - Athens Lindseys	548	Athens, GA	Lindseys	Annelie Zubar	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Annelie Zubar.jpg	11	2013	Same Store	4	Apr
549	Charlotte	NC	28227	01/01/2013 00:00:00	15000	LI - District #4	Charlotte Lindseys	549 - Charlotte Lindseys	549	Charlotte, NC	Lindseys	Brad Sutton	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Brad Sutton.jpg	10	2013	Same Store	1	Jan
550	Kannapolis	NC	28083	01/02/2013 00:00:00	15000	LI - District #4	Kannapolis Lindseys	550 - Kannapolis Lindseys	550	Kannapolis, NC	Lindseys	Brad Sutton	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Brad Sutton.jpg	10	2013	Same Store	2	Feb
551	Anderson	SC	29621	01/02/2013 00:00:00	20000	LI - District #4	Anderson Lindseys	551 - Anderson Lindseys	551	Anderson, SC	Lindseys	Brad Sutton	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Brad Sutton.jpg	10	2013	Same Store	2	Feb
554	Augusta	GA	30909	01/09/2013 00:00:00	10000	LI - District #5	Augusta Lindseys	554 - Augusta Lindseys	554	Augusta, GA	Lindseys	Annelie Zubar	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Annelie Zubar.jpg	11	2013	Same Store	9	Sep
555	Cartersville	GA	30120	01/06/2013 00:00:00	15000	LI - District #5	Cartersville Lindseys	555 - Cartersville Lindseys	555	Cartersville, GA	Lindseys	Annelie Zubar	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Annelie Zubar.jpg	11	2013	Same Store	6	Jun
556	Johnson City	TN	37604	01/09/2013 00:00:00	10000	LI - District #5	Johnson City Lindseys	556 - Johnson City Lindseys	556	Johnson City, TN	Lindseys	Annelie Zubar	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Annelie Zubar.jpg	11	2013	Same Store	9	Sep
557	Savannah	GA	31406	01/08/2013 00:00:00	10000	LI - District #3	Savannah Lindseys	557 - Savannah Lindseys	557	Savannah, GA	Lindseys	Chris Gray	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris Gray.jpg	9	2013	Same Store	8	Aug
558	Newnan	GA	30263	01/06/2013 00:00:00	10000	LI - District #5	Newnan Lindseys	558 - Newnan Lindseys	558	Newnan, GA	Lindseys	Annelie Zubar	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Annelie Zubar.jpg	11	2013	Same Store	6	Jun
560	Buford	GA	30519	01/10/2013 00:00:00	10000	LI - District #5	Buford Lindseys	560 - Buford Lindseys	560	Buford, GA	Lindseys	Annelie Zubar	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Annelie Zubar.jpg	11	2013	Same Store	10	Oct
563	Duluth	GA	30096	01/10/2013 00:00:00	15000	LI - District #5	Duluth Lindseys	563 - Duluth Lindseys	563	Duluth, GA	Lindseys	Annelie Zubar	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Annelie Zubar.jpg	11	2013	Same Store	10	Oct
565	Pasadena	MD	21122	01/07/2014 00:00:00	10000	LI - District #1	Pasadena Lindseys	565 - Pasadena Lindseys	565	Pasadena, MD	Lindseys	Allan Guinot	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Allan Guinot.jpg	6	2014	New Store	7	Jul
566	Ft. Oglethorpe	GA	30742	01/05/2014 00:00:00	15000	LI - District #5	Ft. Oglethorpe Lindseys	566 - Ft. Oglethorpe Lindseys	566	Ft. Oglethorpe, GA	Lindseys	Annelie Zubar	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Annelie Zubar.jpg	11	2014	New Store	5	May
568	Knoxville	TN	37919	01/05/2014 00:00:00	10000	LI - District #5	Knoxville Lindseys	568 - Knoxville Lindseys	568	Knoxville, TN	Lindseys	Annelie Zubar	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Annelie Zubar.jpg	11	2014	New Store	5	May
570	Wilson	NC	27893	01/01/2014 00:00:00	10000	LI - District #3	Wilson Lindseys	570 - Wilson Lindseys	570	Wilson, NC	Lindseys	Chris Gray	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris Gray.jpg	9	2014	New Store	1	Jan
571	Cookeville	TN	38501	01/01/2005 00:00:00	10000	LI - District #5	Cookeville Lindseys	571 - Cookeville Lindseys	571	Cookeville, TN	Lindseys	Annelie Zubar	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Annelie Zubar.jpg	11	2005	Same Store	1	Jan
572	Jacksonville	NC	28546	01/01/2005 00:00:00	10000	LI - District #3	Jacksonville Lindseys	572 - Jacksonville Lindseys	572	Jacksonville, NC	Lindseys	Chris Gray	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris Gray.jpg	9	2005	Same Store	1	Jan
